/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 72 | Reward: 8.0 | Q Loss: 0.6999068260192871 | Steps: 1674
Episode: 73 | Reward: 33.0 | Q Loss: 0.7019392251968384 | Steps: 1707
Episode: 74 | Reward: 19.0 | Q Loss: 0.6956060528755188 | Steps: 1726
Episode: 75 | Reward: 19.0 | Q Loss: 0.6937568187713623 | Steps: 1745
Episode: 76 | Reward: 13.0 | Q Loss: 0.696334719657898 | Steps: 1758
Episode: 77 | Reward: 12.0 | Q Loss: 0.700115978717804 | Steps: 1770
Episode: 78 | Reward: 14.0 | Q Loss: 0.6985087990760803 | Steps: 1784
Episode: 79 | Reward: 23.0 | Q Loss: 0.695459246635437 | Steps: 1807
Episode: 80 | Reward: 63.0 | Q Loss: 0.6957920789718628 | Steps: 1870
Episode: 81 | Reward: 36.0 | Q Loss: 0.704015851020813 | Steps: 1906
Episode: 82 | Reward: 14.0 | Q Loss: 0.6996405124664307 | Steps: 1920
Episode: 83 | Reward: 23.0 | Q Loss: 0.7019472718238831 | Steps: 1943
Episode: 84 | Reward: 31.0 | Q Loss: 0.6979851126670837 | Steps: 1974
Episode: 85 | Reward: 30.0 | Q Loss: 0.7016775012016296 | Steps: 2004
Episode: 86 | Reward: 64.0 | Q Loss: 0.7031641602516174 | Steps: 2068
Episode: 87 | Reward: 17.0 | Q Loss: 0.6984140276908875 | Steps: 2085
Episode: 88 | Reward: 16.0 | Q Loss: 0.694084644317627 | Steps: 2101
Episode: 89 | Reward: 36.0 | Q Loss: 0.6986205577850342 | Steps: 2137
Episode: 90 | Reward: 13.0 | Q Loss: 0.6948979496955872 | Steps: 2150
Episode: 91 | Reward: 22.0 | Q Loss: 0.6955086588859558 | Steps: 2172
Episode: 92 | Reward: 37.0 | Q Loss: 0.6989297866821289 | Steps: 2209
Episode: 93 | Reward: 53.0 | Q Loss: 0.7121115326881409 | Steps: 2262
Episode: 94 | Reward: 34.0 | Q Loss: 0.7010164856910706 | Steps: 2296
Episode: 95 | Reward: 25.0 | Q Loss: 0.7113548517227173 | Steps: 2321
Episode: 96 | Reward: 34.0 | Q Loss: 0.7139825224876404 | Steps: 2355
Episode: 97 | Reward: 24.0 | Q Loss: 0.7118974924087524 | Steps: 2379
Episode: 98 | Reward: 66.0 | Q Loss: 0.7079322338104248 | Steps: 2445
Episode: 99 | Reward: 35.0 | Q Loss: 0.6977934241294861 | Steps: 2480
Episode: 100 | Reward: 62.0 | Q Loss: 0.7209590077400208 | Steps: 2542
Episode: 101 | Reward: 164.0 | Q Loss: 0.6954487562179565 | Steps: 2706
Episode: 102 | Reward: 67.0 | Q Loss: 0.7087482810020447 | Steps: 2773
Episode: 103 | Reward: 125.0 | Q Loss: 0.7097456455230713 | Steps: 2898
Episode: 104 | Reward: 145.0 | Q Loss: 0.7177338600158691 | Steps: 3043
Episode: 105 | Reward: 24.0 | Q Loss: 0.6974911689758301 | Steps: 3067
Episode: 106 | Reward: 136.0 | Q Loss: 0.7112184166908264 | Steps: 3203
Episode: 107 | Reward: 154.0 | Q Loss: 0.6999218463897705 | Steps: 3357
Episode: 108 | Reward: 130.0 | Q Loss: 0.7066953182220459 | Steps: 3487
Episode: 109 | Reward: 108.0 | Q Loss: 0.705758810043335 | Steps: 3595
Episode: 110 | Reward: 134.0 | Q Loss: 0.6980240345001221 | Steps: 3729
Episode: 111 | Reward: 145.0 | Q Loss: 0.7042708992958069 | Steps: 3874
Episode: 112 | Reward: 200.0 | Q Loss: 0.700623095035553 | Steps: 4074
Episode: 113 | Reward: 128.0 | Q Loss: 0.7024446129798889 | Steps: 4202
Episode: 114 | Reward: 188.0 | Q Loss: 0.7178980708122253 | Steps: 4390
Episode: 115 | Reward: 166.0 | Q Loss: 0.7090781927108765 | Steps: 4556
Episode: 116 | Reward: 176.0 | Q Loss: 0.7009802460670471 | Steps: 4732
Episode: 117 | Reward: 179.0 | Q Loss: 0.7018568515777588 | Steps: 4911
Episode: 118 | Reward: 200.0 | Q Loss: 0.7063010334968567 | Steps: 5111
Episode: 119 | Reward: 200.0 | Q Loss: 0.7071165442466736 | Steps: 5311
Episode: 120 | Reward: 155.0 | Q Loss: 0.7167943716049194 | Steps: 5466
Episode: 121 | Reward: 200.0 | Q Loss: 0.7032719850540161 | Steps: 5666
Episode: 122 | Reward: 143.0 | Q Loss: 0.7830110192298889 | Steps: 5809
Episode: 123 | Reward: 152.0 | Q Loss: 0.711644172668457 | Steps: 5961
Episode: 124 | Reward: 150.0 | Q Loss: 0.7040908336639404 | Steps: 6111
Episode: 125 | Reward: 191.0 | Q Loss: 0.7143552899360657 | Steps: 6302
Episode: 126 | Reward: 166.0 | Q Loss: 0.7200677394866943 | Steps: 6468
Episode: 127 | Reward: 181.0 | Q Loss: 0.7046868205070496 | Steps: 6649
Episode: 128 | Reward: 200.0 | Q Loss: 0.7253211140632629 | Steps: 6849
Episode: 129 | Reward: 184.0 | Q Loss: 0.7067558169364929 | Steps: 7033
Episode: 130 | Reward: 137.0 | Q Loss: 0.7131130695343018 | Steps: 7170
Episode: 131 | Reward: 158.0 | Q Loss: 0.7159785628318787 | Steps: 7328
Episode: 132 | Reward: 194.0 | Q Loss: 0.7218942642211914 | Steps: 7522
Episode: 133 | Reward: 185.0 | Q Loss: 0.7491289377212524 | Steps: 7707
Episode: 134 | Reward: 180.0 | Q Loss: 0.7198246717453003 | Steps: 7887
Episode: 135 | Reward: 200.0 | Q Loss: 0.7242522239685059 | Steps: 8087
Episode: 136 | Reward: 155.0 | Q Loss: 0.7030166983604431 | Steps: 8242
Episode: 137 | Reward: 200.0 | Q Loss: 0.7301185131072998 | Steps: 8442
Episode: 138 | Reward: 164.0 | Q Loss: 0.7491660714149475 | Steps: 8606
Episode: 139 | Reward: 178.0 | Q Loss: 0.7291412353515625 | Steps: 8784
Episode: 140 | Reward: 200.0 | Q Loss: 0.7506035566329956 | Steps: 8984
Episode: 141 | Reward: 200.0 | Q Loss: 0.7741122245788574 | Steps: 9184
Episode: 142 | Reward: 177.0 | Q Loss: 0.7403981685638428 | Steps: 9361
Episode: 143 | Reward: 200.0 | Q Loss: 0.7120352387428284 | Steps: 9561
Episode: 144 | Reward: 199.0 | Q Loss: 0.7160843014717102 | Steps: 9760
Episode: 145 | Reward: 184.0 | Q Loss: 0.8466693162918091 | Steps: 9944
Episode: 146 | Reward: 159.0 | Q Loss: 0.7628270387649536 | Steps: 10103
Episode: 147 | Reward: 200.0 | Q Loss: 0.7524241209030151 | Steps: 10303
Episode: 148 | Reward: 200.0 | Q Loss: 0.7301924228668213 | Steps: 10503
Episode: 149 | Reward: 193.0 | Q Loss: 0.9967900514602661 | Steps: 10696
Episode: 150 | Reward: 200.0 | Q Loss: 0.7690480351448059 | Steps: 10896
Episode: 151 | Reward: 188.0 | Q Loss: 0.7379564046859741 | Steps: 11084
Episode: 152 | Reward: 200.0 | Q Loss: 0.7330918312072754 | Steps: 11284
Episode: 153 | Reward: 177.0 | Q Loss: 0.7728056907653809 | Steps: 11461
Episode: 154 | Reward: 200.0 | Q Loss: 0.8051547408103943 | Steps: 11661
Episode: 155 | Reward: 184.0 | Q Loss: 0.7874943017959595 | Steps: 11845
Episode: 156 | Reward: 200.0 | Q Loss: 0.9160585403442383 | Steps: 12045
Episode: 157 | Reward: 182.0 | Q Loss: 0.827643096446991 | Steps: 12227
Episode: 158 | Reward: 200.0 | Q Loss: 0.8832975029945374 | Steps: 12427
Episode: 159 | Reward: 200.0 | Q Loss: 0.7476887702941895 | Steps: 12627
Episode: 160 | Reward: 200.0 | Q Loss: 0.7650583386421204 | Steps: 12827
Episode: 161 | Reward: 200.0 | Q Loss: 0.8981544375419617 | Steps: 13027
Episode: 162 | Reward: 189.0 | Q Loss: 0.7534899115562439 | Steps: 13216
Episode: 163 | Reward: 181.0 | Q Loss: 0.8603559732437134 | Steps: 13397
Episode: 164 | Reward: 200.0 | Q Loss: 0.9019151926040649 | Steps: 13597
Episode: 165 | Reward: 200.0 | Q Loss: 0.8055150508880615 | Steps: 13797
Episode: 166 | Reward: 168.0 | Q Loss: 0.9761143922805786 | Steps: 13965
Episode: 167 | Reward: 200.0 | Q Loss: 0.7486173510551453 | Steps: 14165
Episode: 168 | Reward: 200.0 | Q Loss: 0.8434089422225952 | Steps: 14365
Episode: 169 | Reward: 200.0 | Q Loss: 0.8313741087913513 | Steps: 14565
Episode: 170 | Reward: 200.0 | Q Loss: 0.8310337662696838 | Steps: 14765
Episode: 171 | Reward: 200.0 | Q Loss: 1.011197566986084 | Steps: 14965
Episode: 172 | Reward: 200.0 | Q Loss: 0.8538072109222412 | Steps: 15165
Episode: 173 | Reward: 200.0 | Q Loss: 0.9787871241569519 | Steps: 15365
Episode: 174 | Reward: 200.0 | Q Loss: 1.0936346054077148 | Steps: 15565
Episode: 175 | Reward: 200.0 | Q Loss: 0.912597119808197 | Steps: 15765
Episode: 176 | Reward: 186.0 | Q Loss: 0.8863856196403503 | Steps: 15951
Episode: 177 | Reward: 174.0 | Q Loss: 0.9023147225379944 | Steps: 16125
Episode: 178 | Reward: 200.0 | Q Loss: 0.8589690923690796 | Steps: 16325
Episode: 179 | Reward: 200.0 | Q Loss: 0.7784934043884277 | Steps: 16525
Episode: 180 | Reward: 200.0 | Q Loss: 0.9269155263900757 | Steps: 16725
Episode: 181 | Reward: 200.0 | Q Loss: 0.735309362411499 | Steps: 16925
Episode: 182 | Reward: 185.0 | Q Loss: 1.1276843547821045 | Steps: 17110
Episode: 183 | Reward: 194.0 | Q Loss: 0.8143951296806335 | Steps: 17304
Episode: 184 | Reward: 200.0 | Q Loss: 0.921970009803772 | Steps: 17504
Episode: 185 | Reward: 200.0 | Q Loss: 1.2579436302185059 | Steps: 17704
Episode: 186 | Reward: 200.0 | Q Loss: 0.8665692806243896 | Steps: 17904
Episode: 187 | Reward: 200.0 | Q Loss: 1.1035176515579224 | Steps: 18104
Episode: 188 | Reward: 200.0 | Q Loss: 0.8076316118240356 | Steps: 18304
Episode: 189 | Reward: 169.0 | Q Loss: 0.9417745471000671 | Steps: 18473
Episode: 190 | Reward: 200.0 | Q Loss: 0.8330907821655273 | Steps: 18673
Episode: 191 | Reward: 200.0 | Q Loss: 2.6837451457977295 | Steps: 18873
Episode: 192 | Reward: 200.0 | Q Loss: 1.0129485130310059 | Steps: 19073
Episode: 193 | Reward: 200.0 | Q Loss: 0.7914910316467285 | Steps: 19273
Episode: 194 | Reward: 200.0 | Q Loss: 0.8754081130027771 | Steps: 19473
Episode: 195 | Reward: 200.0 | Q Loss: 0.8230181932449341 | Steps: 19673
Episode: 196 | Reward: 200.0 | Q Loss: 0.8931100368499756 | Steps: 19873
Episode: 197 | Reward: 200.0 | Q Loss: 0.9704777002334595 | Steps: 20073
Episode: 198 | Reward: 187.0 | Q Loss: 0.8291491866111755 | Steps: 20260
Episode: 199 | Reward: 200.0 | Q Loss: 0.793368399143219 | Steps: 20460
Episode: 200 | Reward: 200.0 | Q Loss: 0.8844910860061646 | Steps: 20660
Episode: 201 | Reward: 200.0 | Q Loss: 0.9661098718643188 | Steps: 20860
Episode: 202 | Reward: 200.0 | Q Loss: 0.9641376733779907 | Steps: 21060
Episode: 203 | Reward: 200.0 | Q Loss: 1.1364729404449463 | Steps: 21260
Episode: 204 | Reward: 200.0 | Q Loss: 1.1645407676696777 | Steps: 21460
Episode: 205 | Reward: 200.0 | Q Loss: 1.1315021514892578 | Steps: 21660
Episode: 206 | Reward: 200.0 | Q Loss: 0.9084143042564392 | Steps: 21860
Episode: 207 | Reward: 200.0 | Q Loss: 0.8859060406684875 | Steps: 22060
Episode: 208 | Reward: 199.0 | Q Loss: 1.095711588859558 | Steps: 22259
Episode: 209 | Reward: 200.0 | Q Loss: 1.0013943910598755 | Steps: 22459
Episode: 210 | Reward: 200.0 | Q Loss: 0.9622026085853577 | Steps: 22659
Episode: 211 | Reward: 200.0 | Q Loss: 0.9127589464187622 | Steps: 22859
Episode: 212 | Reward: 163.0 | Q Loss: 0.9105913043022156 | Steps: 23022
Episode: 213 | Reward: 178.0 | Q Loss: 0.8008083701133728 | Steps: 23200
Episode: 214 | Reward: 169.0 | Q Loss: 1.0381273031234741 | Steps: 23369
Episode: 215 | Reward: 200.0 | Q Loss: 0.7376633882522583 | Steps: 23569
Episode: 216 | Reward: 200.0 | Q Loss: 1.0421621799468994 | Steps: 23769
Episode: 217 | Reward: 200.0 | Q Loss: 7.274044513702393 | Steps: 23969
Episode: 218 | Reward: 200.0 | Q Loss: 0.880326509475708 | Steps: 24169
Episode: 219 | Reward: 200.0 | Q Loss: 0.9855755567550659 | Steps: 24369
Episode: 220 | Reward: 200.0 | Q Loss: 0.9014532566070557 | Steps: 24569
Episode: 221 | Reward: 200.0 | Q Loss: 1.4106760025024414 | Steps: 24769
Episode: 222 | Reward: 198.0 | Q Loss: 1.0778837203979492 | Steps: 24967
Episode: 223 | Reward: 200.0 | Q Loss: 1.1895557641983032 | Steps: 25167
Episode: 224 | Reward: 194.0 | Q Loss: 1.2924433946609497 | Steps: 25361
Episode: 225 | Reward: 186.0 | Q Loss: 1.2588458061218262 | Steps: 25547
Episode: 226 | Reward: 200.0 | Q Loss: 1.16107976436615 | Steps: 25747
Episode: 227 | Reward: 200.0 | Q Loss: 1.4048184156417847 | Steps: 25947
Episode: 228 | Reward: 200.0 | Q Loss: 0.7944713830947876 | Steps: 26147
Episode: 229 | Reward: 166.0 | Q Loss: 2.3432459831237793 | Steps: 26313
Episode: 230 | Reward: 200.0 | Q Loss: 0.9713279008865356 | Steps: 26513
Episode: 231 | Reward: 200.0 | Q Loss: 1.2539780139923096 | Steps: 26713
Episode: 232 | Reward: 200.0 | Q Loss: 1.4070707559585571 | Steps: 26913
Episode: 233 | Reward: 162.0 | Q Loss: 1.6368507146835327 | Steps: 27075
Episode: 234 | Reward: 200.0 | Q Loss: 0.787580668926239 | Steps: 27275
Episode: 235 | Reward: 200.0 | Q Loss: 0.9969351887702942 | Steps: 27475
Episode: 236 | Reward: 200.0 | Q Loss: 1.1706258058547974 | Steps: 27675
Episode: 237 | Reward: 200.0 | Q Loss: 1.0235447883605957 | Steps: 27875
Episode: 238 | Reward: 200.0 | Q Loss: 1.4580820798873901 | Steps: 28075
Episode: 239 | Reward: 200.0 | Q Loss: 1.1746878623962402 | Steps: 28275
Episode: 240 | Reward: 168.0 | Q Loss: 1.1159968376159668 | Steps: 28443
Episode: 241 | Reward: 200.0 | Q Loss: 1.0765165090560913 | Steps: 28643
Episode: 242 | Reward: 200.0 | Q Loss: 1.0534440279006958 | Steps: 28843
Episode: 243 | Reward: 200.0 | Q Loss: 1.0802087783813477 | Steps: 29043
Episode: 244 | Reward: 200.0 | Q Loss: 0.8833539485931396 | Steps: 29243
Episode: 245 | Reward: 200.0 | Q Loss: 1.2829971313476562 | Steps: 29443
Episode: 246 | Reward: 197.0 | Q Loss: 0.8737800717353821 | Steps: 29640
Episode: 247 | Reward: 200.0 | Q Loss: 1.2325220108032227 | Steps: 29840
Episode: 248 | Reward: 185.0 | Q Loss: 4.675915718078613 | Steps: 30025
Episode: 249 | Reward: 200.0 | Q Loss: 0.9785318374633789 | Steps: 30225
Episode: 250 | Reward: 200.0 | Q Loss: 2.9988999366760254 | Steps: 30425
Episode: 251 | Reward: 200.0 | Q Loss: 0.738187313079834 | Steps: 30625
Episode: 252 | Reward: 200.0 | Q Loss: 0.9012389183044434 | Steps: 30825
Episode: 253 | Reward: 152.0 | Q Loss: 1.3028807640075684 | Steps: 30977
Episode: 254 | Reward: 200.0 | Q Loss: 0.8917447924613953 | Steps: 31177
Episode: 255 | Reward: 190.0 | Q Loss: 1.1154769659042358 | Steps: 31367
Episode: 256 | Reward: 200.0 | Q Loss: 8.00454330444336 | Steps: 31567
Episode: 257 | Reward: 200.0 | Q Loss: 0.8989297747612 | Steps: 31767
Episode: 258 | Reward: 200.0 | Q Loss: 1.0229520797729492 | Steps: 31967
Episode: 259 | Reward: 190.0 | Q Loss: 0.783418595790863 | Steps: 32157
Episode: 260 | Reward: 200.0 | Q Loss: 1.1634247303009033 | Steps: 32357
Episode: 261 | Reward: 200.0 | Q Loss: 11.299009323120117 | Steps: 32557
Episode: 262 | Reward: 200.0 | Q Loss: 1.2467525005340576 | Steps: 32757
Episode: 263 | Reward: 160.0 | Q Loss: 1.3798043727874756 | Steps: 32917
Episode: 264 | Reward: 200.0 | Q Loss: 0.923837423324585 | Steps: 33117
Episode: 265 | Reward: 200.0 | Q Loss: 1.2324928045272827 | Steps: 33317
Episode: 266 | Reward: 200.0 | Q Loss: 1.3302096128463745 | Steps: 33517
Episode: 267 | Reward: 200.0 | Q Loss: 1.0870556831359863 | Steps: 33717
Episode: 268 | Reward: 200.0 | Q Loss: 1.3560466766357422 | Steps: 33917
Episode: 269 | Reward: 200.0 | Q Loss: 1.03055739402771 | Steps: 34117
Episode: 270 | Reward: 188.0 | Q Loss: 1.425771713256836 | Steps: 34305
Episode: 271 | Reward: 174.0 | Q Loss: 11.513816833496094 | Steps: 34479
Episode: 272 | Reward: 185.0 | Q Loss: 1.5375378131866455 | Steps: 34664
Episode: 273 | Reward: 200.0 | Q Loss: 14.40869140625 | Steps: 34864
Episode: 274 | Reward: 200.0 | Q Loss: 1.0532655715942383 | Steps: 35064
Episode: 275 | Reward: 197.0 | Q Loss: 0.7473254799842834 | Steps: 35261
Episode: 276 | Reward: 200.0 | Q Loss: 3.5147793292999268 | Steps: 35461
Episode: 277 | Reward: 200.0 | Q Loss: 0.7867253422737122 | Steps: 35661
Episode: 278 | Reward: 200.0 | Q Loss: 1.4994608163833618 | Steps: 35861
Episode: 279 | Reward: 200.0 | Q Loss: 1.027411937713623 | Steps: 36061
Episode: 280 | Reward: 185.0 | Q Loss: 1.0462511777877808 | Steps: 36246
