/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 64 | Reward: -991.5604891246986 | Polciy Loss: 245.7711181640625 | Steps: 12800
Episode: 65 | Reward: -1008.8642503611823 | Polciy Loss: 242.22732543945312 | Steps: 13000
Episode: 66 | Reward: -753.3011026923742 | Polciy Loss: 241.95309448242188 | Steps: 13200
Episode: 67 | Reward: -763.2826145855827 | Polciy Loss: 242.50772094726562 | Steps: 13400
Episode: 68 | Reward: -243.97967980260063 | Polciy Loss: 242.86080932617188 | Steps: 13600
Episode: 69 | Reward: -358.4264288182554 | Polciy Loss: 247.7671356201172 | Steps: 13800
Episode: 70 | Reward: -873.5881221848524 | Polciy Loss: 238.93663024902344 | Steps: 14000
Episode: 71 | Reward: -2.011204699353768 | Polciy Loss: 234.0185546875 | Steps: 14200
Episode: 72 | Reward: -507.2153109095748 | Polciy Loss: 236.254150390625 | Steps: 14400
Episode: 73 | Reward: -123.78039601039485 | Polciy Loss: 238.54885864257812 | Steps: 14600
Episode: 74 | Reward: -243.41556995054373 | Polciy Loss: 238.99224853515625 | Steps: 14800
Episode: 75 | Reward: -764.1619046118266 | Polciy Loss: 242.5175323486328 | Steps: 15000
Episode: 76 | Reward: -238.79330898530608 | Polciy Loss: 243.1613006591797 | Steps: 15200
Episode: 77 | Reward: -125.39829307462843 | Polciy Loss: 243.55917358398438 | Steps: 15400
Episode: 78 | Reward: -869.9622953452028 | Polciy Loss: 236.84410095214844 | Steps: 15600
Episode: 79 | Reward: -491.58264672595055 | Polciy Loss: 234.20730590820312 | Steps: 15800
Episode: 80 | Reward: -121.08666443207495 | Polciy Loss: 232.26370239257812 | Steps: 16000
Episode: 81 | Reward: -791.908356737492 | Polciy Loss: 229.46707153320312 | Steps: 16200
Episode: 82 | Reward: -252.8241524463914 | Polciy Loss: 226.4818115234375 | Steps: 16400
Episode: 83 | Reward: -126.60955247961255 | Polciy Loss: 227.1451416015625 | Steps: 16600
Episode: 84 | Reward: -761.8171803052293 | Polciy Loss: 234.52859497070312 | Steps: 16800
