/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 70 | Reward: 16.0 | Polciy Loss: -3.851186752319336 | Steps: 1327
Episode: 71 | Reward: 36.0 | Polciy Loss: -3.826079845428467 | Steps: 1363
Episode: 72 | Reward: 41.0 | Polciy Loss: -3.867555618286133 | Steps: 1404
Episode: 73 | Reward: 10.0 | Polciy Loss: -3.7814059257507324 | Steps: 1414
Episode: 74 | Reward: 15.0 | Polciy Loss: -3.9795570373535156 | Steps: 1429
Episode: 75 | Reward: 12.0 | Polciy Loss: -3.9030723571777344 | Steps: 1441
Episode: 76 | Reward: 13.0 | Polciy Loss: -3.8769192695617676 | Steps: 1454
Episode: 77 | Reward: 13.0 | Polciy Loss: -3.8487792015075684 | Steps: 1467
Episode: 78 | Reward: 13.0 | Polciy Loss: -4.029553413391113 | Steps: 1480
Episode: 79 | Reward: 19.0 | Polciy Loss: -3.970546007156372 | Steps: 1499
Episode: 80 | Reward: 19.0 | Polciy Loss: -3.9327268600463867 | Steps: 1518
Episode: 81 | Reward: 13.0 | Polciy Loss: -4.0743255615234375 | Steps: 1531
Episode: 82 | Reward: 20.0 | Polciy Loss: -3.9509780406951904 | Steps: 1551
Episode: 83 | Reward: 8.0 | Polciy Loss: -4.120426177978516 | Steps: 1559
Episode: 84 | Reward: 15.0 | Polciy Loss: -4.046774387359619 | Steps: 1574
Episode: 85 | Reward: 15.0 | Polciy Loss: -3.8842344284057617 | Steps: 1589
Episode: 86 | Reward: 12.0 | Polciy Loss: -4.025434494018555 | Steps: 1601
Episode: 87 | Reward: 10.0 | Polciy Loss: -4.024842262268066 | Steps: 1611
Episode: 88 | Reward: 10.0 | Polciy Loss: -3.989678382873535 | Steps: 1621
Episode: 89 | Reward: 25.0 | Polciy Loss: -4.09828519821167 | Steps: 1646
Episode: 90 | Reward: 9.0 | Polciy Loss: -4.14167594909668 | Steps: 1655
Episode: 91 | Reward: 20.0 | Polciy Loss: -4.128666877746582 | Steps: 1675
Episode: 92 | Reward: 12.0 | Polciy Loss: -4.185067176818848 | Steps: 1687
Episode: 93 | Reward: 14.0 | Polciy Loss: -4.103828430175781 | Steps: 1701
Episode: 94 | Reward: 12.0 | Polciy Loss: -4.102054595947266 | Steps: 1713
Episode: 95 | Reward: 63.0 | Polciy Loss: -4.184955596923828 | Steps: 1776
Episode: 96 | Reward: 32.0 | Polciy Loss: -4.021519660949707 | Steps: 1808
Episode: 97 | Reward: 9.0 | Polciy Loss: -4.220164775848389 | Steps: 1817
Episode: 98 | Reward: 29.0 | Polciy Loss: -4.01213264465332 | Steps: 1846
Episode: 99 | Reward: 14.0 | Polciy Loss: -4.27433967590332 | Steps: 1860
Episode: 100 | Reward: 13.0 | Polciy Loss: -4.19197940826416 | Steps: 1873
