/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 70 | Reward: 101.0 | Polciy Loss: -7.926626682281494 | Steps: 2868
Episode: 71 | Reward: 177.0 | Polciy Loss: -8.497910499572754 | Steps: 3045
Episode: 72 | Reward: 146.0 | Polciy Loss: -8.428731918334961 | Steps: 3191
Episode: 73 | Reward: 156.0 | Polciy Loss: -8.770912170410156 | Steps: 3347
Episode: 74 | Reward: 153.0 | Polciy Loss: -9.241771697998047 | Steps: 3500
Episode: 75 | Reward: 144.0 | Polciy Loss: -9.201774597167969 | Steps: 3644
Episode: 76 | Reward: 142.0 | Polciy Loss: -9.121482849121094 | Steps: 3786
Episode: 77 | Reward: 121.0 | Polciy Loss: -9.665371894836426 | Steps: 3907
Episode: 78 | Reward: 136.0 | Polciy Loss: -9.860170364379883 | Steps: 4043
Episode: 79 | Reward: 164.0 | Polciy Loss: -10.26050090789795 | Steps: 4207
Episode: 80 | Reward: 158.0 | Polciy Loss: -10.169853210449219 | Steps: 4365
Episode: 81 | Reward: 145.0 | Polciy Loss: -10.568143844604492 | Steps: 4510
Episode: 82 | Reward: 135.0 | Polciy Loss: -10.486283302307129 | Steps: 4645
Episode: 83 | Reward: 127.0 | Polciy Loss: -10.761180877685547 | Steps: 4772
Episode: 84 | Reward: 148.0 | Polciy Loss: -10.709986686706543 | Steps: 4920
Episode: 85 | Reward: 161.0 | Polciy Loss: -11.10171127319336 | Steps: 5081
Episode: 86 | Reward: 149.0 | Polciy Loss: -11.496479034423828 | Steps: 5230
Episode: 87 | Reward: 134.0 | Polciy Loss: -12.174663543701172 | Steps: 5364
Episode: 88 | Reward: 142.0 | Polciy Loss: -11.833450317382812 | Steps: 5506
Episode: 89 | Reward: 128.0 | Polciy Loss: -12.232574462890625 | Steps: 5634
Episode: 90 | Reward: 140.0 | Polciy Loss: -12.511880874633789 | Steps: 5774
Episode: 91 | Reward: 141.0 | Polciy Loss: -12.675067901611328 | Steps: 5915
Episode: 92 | Reward: 156.0 | Polciy Loss: -12.821913719177246 | Steps: 6071
Episode: 93 | Reward: 187.0 | Polciy Loss: -13.190375328063965 | Steps: 6258
Episode: 94 | Reward: 162.0 | Polciy Loss: -13.619817733764648 | Steps: 6420
Episode: 95 | Reward: 142.0 | Polciy Loss: -14.037571907043457 | Steps: 6562
Episode: 96 | Reward: 200.0 | Polciy Loss: -14.474929809570312 | Steps: 6762
Episode: 97 | Reward: 158.0 | Polciy Loss: -14.564510345458984 | Steps: 6920
Episode: 98 | Reward: 200.0 | Polciy Loss: -14.72075080871582 | Steps: 7120
Episode: 99 | Reward: 112.0 | Polciy Loss: -15.60178279876709 | Steps: 7232
Episode: 100 | Reward: 134.0 | Polciy Loss: -15.94426155090332 | Steps: 7366
Episode: 101 | Reward: 120.0 | Polciy Loss: -16.230384826660156 | Steps: 7486
Episode: 102 | Reward: 200.0 | Polciy Loss: -16.633512496948242 | Steps: 7686
Episode: 103 | Reward: 200.0 | Polciy Loss: -17.468280792236328 | Steps: 7886
Episode: 104 | Reward: 200.0 | Polciy Loss: -17.898387908935547 | Steps: 8086
Episode: 105 | Reward: 200.0 | Polciy Loss: -18.678485870361328 | Steps: 8286
Episode: 106 | Reward: 124.0 | Polciy Loss: -18.846548080444336 | Steps: 8410
Episode: 107 | Reward: 200.0 | Polciy Loss: -19.260286331176758 | Steps: 8610
