/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 70 | Reward: 198.0 | Polciy Loss: -17.436290740966797 | Steps: 6304
Episode: 71 | Reward: 144.0 | Polciy Loss: -18.328033447265625 | Steps: 6448
Episode: 72 | Reward: 200.0 | Polciy Loss: -18.706771850585938 | Steps: 6648
Episode: 73 | Reward: 152.0 | Polciy Loss: -19.2419490814209 | Steps: 6800
Episode: 74 | Reward: 200.0 | Polciy Loss: -19.944381713867188 | Steps: 7000
Episode: 75 | Reward: 98.0 | Polciy Loss: -20.369354248046875 | Steps: 7098
Episode: 76 | Reward: 192.0 | Polciy Loss: -20.93939971923828 | Steps: 7290
Episode: 77 | Reward: 181.0 | Polciy Loss: -21.483631134033203 | Steps: 7471
Episode: 78 | Reward: 111.0 | Polciy Loss: -21.695146560668945 | Steps: 7582
Episode: 79 | Reward: 200.0 | Polciy Loss: -23.50783920288086 | Steps: 7782
Episode: 80 | Reward: 200.0 | Polciy Loss: -23.91189193725586 | Steps: 7982
Episode: 81 | Reward: 130.0 | Polciy Loss: -23.98779296875 | Steps: 8112
Episode: 82 | Reward: 111.0 | Polciy Loss: -24.684070587158203 | Steps: 8223
Episode: 83 | Reward: 178.0 | Polciy Loss: -25.124177932739258 | Steps: 8401
Episode: 84 | Reward: 125.0 | Polciy Loss: -25.712221145629883 | Steps: 8526
Episode: 85 | Reward: 110.0 | Polciy Loss: -26.898950576782227 | Steps: 8636
Episode: 86 | Reward: 175.0 | Polciy Loss: -27.008907318115234 | Steps: 8811
Episode: 87 | Reward: 121.0 | Polciy Loss: -27.430763244628906 | Steps: 8932
Episode: 88 | Reward: 200.0 | Polciy Loss: -28.24355697631836 | Steps: 9132
Episode: 89 | Reward: 200.0 | Polciy Loss: -28.581554412841797 | Steps: 9332
Episode: 90 | Reward: 148.0 | Polciy Loss: -30.48386573791504 | Steps: 9480
Episode: 91 | Reward: 136.0 | Polciy Loss: -29.74752426147461 | Steps: 9616
Episode: 92 | Reward: 200.0 | Polciy Loss: -32.17903137207031 | Steps: 9816
Episode: 93 | Reward: 200.0 | Polciy Loss: -32.07813262939453 | Steps: 10016
Episode: 94 | Reward: 130.0 | Polciy Loss: -32.90040588378906 | Steps: 10146
Episode: 95 | Reward: 146.0 | Polciy Loss: -33.10316467285156 | Steps: 10292
Episode: 96 | Reward: 138.0 | Polciy Loss: -33.64459228515625 | Steps: 10430
Episode: 97 | Reward: 161.0 | Polciy Loss: -34.874359130859375 | Steps: 10591
Episode: 98 | Reward: 111.0 | Polciy Loss: -34.547279357910156 | Steps: 10702
Episode: 99 | Reward: 166.0 | Polciy Loss: -35.92894744873047 | Steps: 10868
Episode: 100 | Reward: 171.0 | Polciy Loss: -37.881465911865234 | Steps: 11039
Episode: 101 | Reward: 193.0 | Polciy Loss: -36.859066009521484 | Steps: 11232
Episode: 102 | Reward: 162.0 | Polciy Loss: -37.16474151611328 | Steps: 11394
