/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 64 | Reward: -126.1050535615291 | Polciy Loss: 174.16830444335938 | Steps: 12800
Episode: 65 | Reward: -582.9205936864352 | Polciy Loss: 144.05136108398438 | Steps: 13000
Episode: 66 | Reward: -587.9715088481315 | Polciy Loss: 165.08489990234375 | Steps: 13200
Episode: 67 | Reward: -466.9427909151097 | Polciy Loss: 159.20989990234375 | Steps: 13400
Episode: 68 | Reward: -126.17372336550159 | Polciy Loss: 156.72366333007812 | Steps: 13600
Episode: 69 | Reward: -487.11173154201396 | Polciy Loss: 152.54156494140625 | Steps: 13800
Episode: 70 | Reward: -236.23746429884895 | Polciy Loss: 149.51731872558594 | Steps: 14000
Episode: 71 | Reward: -240.7022732038271 | Polciy Loss: 144.95516967773438 | Steps: 14200
Episode: 72 | Reward: -470.50402073005876 | Polciy Loss: 155.4909210205078 | Steps: 14400
Episode: 73 | Reward: -0.662483927925243 | Polciy Loss: 145.46188354492188 | Steps: 14600
Episode: 74 | Reward: -121.18304005679002 | Polciy Loss: 137.57159423828125 | Steps: 14800
Episode: 75 | Reward: -120.77082743258616 | Polciy Loss: 137.98019409179688 | Steps: 15000
Episode: 76 | Reward: -242.77652446868217 | Polciy Loss: 134.07943725585938 | Steps: 15200
Episode: 77 | Reward: -358.18573333951264 | Polciy Loss: 142.24786376953125 | Steps: 15400
