/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 76 | Reward: 12.0 | Q Loss: -2598120718336.0 | Steps: 1594
Episode: 77 | Reward: 11.0 | Q Loss: -2749942464512.0 | Steps: 1605
Episode: 78 | Reward: 13.0 | Q Loss: -2716584640512.0 | Steps: 1618
Episode: 79 | Reward: 37.0 | Q Loss: -3040459358208.0 | Steps: 1655
Episode: 80 | Reward: 12.0 | Q Loss: -3360242532352.0 | Steps: 1667
Episode: 81 | Reward: 18.0 | Q Loss: -3886716289024.0 | Steps: 1685
Episode: 82 | Reward: 23.0 | Q Loss: -4083111952384.0 | Steps: 1708
Episode: 83 | Reward: 15.0 | Q Loss: -3901216260096.0 | Steps: 1723
Episode: 84 | Reward: 20.0 | Q Loss: -3944664006656.0 | Steps: 1743
Episode: 85 | Reward: 16.0 | Q Loss: -4140220547072.0 | Steps: 1759
Episode: 86 | Reward: 22.0 | Q Loss: -4580966924288.0 | Steps: 1781
Episode: 87 | Reward: 27.0 | Q Loss: -5243671674880.0 | Steps: 1808
Episode: 88 | Reward: 23.0 | Q Loss: -5362076352512.0 | Steps: 1831
Episode: 89 | Reward: 22.0 | Q Loss: -5665361756160.0 | Steps: 1853
Episode: 90 | Reward: 65.0 | Q Loss: -5985548107776.0 | Steps: 1918
Episode: 91 | Reward: 17.0 | Q Loss: -6512078487552.0 | Steps: 1935
Episode: 92 | Reward: 17.0 | Q Loss: -7402704863232.0 | Steps: 1952
Episode: 93 | Reward: 20.0 | Q Loss: -7655959560192.0 | Steps: 1972
Episode: 94 | Reward: 16.0 | Q Loss: -7604436729856.0 | Steps: 1988
Episode: 95 | Reward: 17.0 | Q Loss: -7827427950592.0 | Steps: 2005
Episode: 96 | Reward: 40.0 | Q Loss: -8959619497984.0 | Steps: 2045
Episode: 97 | Reward: 15.0 | Q Loss: -9395127713792.0 | Steps: 2060
Episode: 98 | Reward: 10.0 | Q Loss: -8542514839552.0 | Steps: 2070
Episode: 99 | Reward: 17.0 | Q Loss: -9458135597056.0 | Steps: 2087
Episode: 100 | Reward: 22.0 | Q Loss: -9136819404800.0 | Steps: 2109
Episode: 101 | Reward: 15.0 | Q Loss: -9798111199232.0 | Steps: 2124
Episode: 102 | Reward: 29.0 | Q Loss: -11269085069312.0 | Steps: 2153
Episode: 103 | Reward: 10.0 | Q Loss: -10845580951552.0 | Steps: 2163
Episode: 104 | Reward: 15.0 | Q Loss: -10666968612864.0 | Steps: 2178
Episode: 105 | Reward: 19.0 | Q Loss: -11353934790656.0 | Steps: 2197
Episode: 106 | Reward: 16.0 | Q Loss: -11478186852352.0 | Steps: 2213
Episode: 107 | Reward: 35.0 | Q Loss: -12655165177856.0 | Steps: 2248
Episode: 108 | Reward: 54.0 | Q Loss: -13306843627520.0 | Steps: 2302
Episode: 109 | Reward: 19.0 | Q Loss: -14119648362496.0 | Steps: 2321
Episode: 110 | Reward: 10.0 | Q Loss: -13329431003136.0 | Steps: 2331
Episode: 111 | Reward: 23.0 | Q Loss: -16053505622016.0 | Steps: 2354
Episode: 112 | Reward: 10.0 | Q Loss: -15545516687360.0 | Steps: 2364
Episode: 113 | Reward: 13.0 | Q Loss: -16015324872704.0 | Steps: 2377
Episode: 114 | Reward: 40.0 | Q Loss: -17254263554048.0 | Steps: 2417
Episode: 115 | Reward: 13.0 | Q Loss: -18134912204800.0 | Steps: 2430
Episode: 116 | Reward: 20.0 | Q Loss: -17338824916992.0 | Steps: 2450
Episode: 117 | Reward: 13.0 | Q Loss: -19682457288704.0 | Steps: 2463
Episode: 118 | Reward: 17.0 | Q Loss: -15417099681792.0 | Steps: 2480
Episode: 119 | Reward: 21.0 | Q Loss: -18570960437248.0 | Steps: 2501
Episode: 120 | Reward: 13.0 | Q Loss: -19513443614720.0 | Steps: 2514
Episode: 121 | Reward: 22.0 | Q Loss: -21124983291904.0 | Steps: 2536
Episode: 122 | Reward: 16.0 | Q Loss: -20479888850944.0 | Steps: 2552
Episode: 123 | Reward: 9.0 | Q Loss: -20889743654912.0 | Steps: 2561
Episode: 124 | Reward: 10.0 | Q Loss: -20009887727616.0 | Steps: 2571
Episode: 125 | Reward: 23.0 | Q Loss: -22644109869056.0 | Steps: 2594
Episode: 126 | Reward: 15.0 | Q Loss: -23311213920256.0 | Steps: 2609
Episode: 127 | Reward: 11.0 | Q Loss: -23295850184704.0 | Steps: 2620
Episode: 128 | Reward: 18.0 | Q Loss: -27732377337856.0 | Steps: 2638
Episode: 129 | Reward: 8.0 | Q Loss: -22537580838912.0 | Steps: 2646
Episode: 130 | Reward: 20.0 | Q Loss: -26542595899392.0 | Steps: 2666
Episode: 131 | Reward: 41.0 | Q Loss: -27036716367872.0 | Steps: 2707
Episode: 132 | Reward: 32.0 | Q Loss: -28429468565504.0 | Steps: 2739
Episode: 133 | Reward: 14.0 | Q Loss: -30593484062720.0 | Steps: 2753
Episode: 134 | Reward: 23.0 | Q Loss: -29488813441024.0 | Steps: 2776
Episode: 135 | Reward: 13.0 | Q Loss: -28694789750784.0 | Steps: 2789
Episode: 136 | Reward: 15.0 | Q Loss: -26827384946688.0 | Steps: 2804
Episode: 137 | Reward: 15.0 | Q Loss: -30360758910976.0 | Steps: 2819
Episode: 138 | Reward: 23.0 | Q Loss: -31056755425280.0 | Steps: 2842
Episode: 139 | Reward: 39.0 | Q Loss: -30122337894400.0 | Steps: 2881
Episode: 140 | Reward: 16.0 | Q Loss: -38474581278720.0 | Steps: 2897
Episode: 141 | Reward: 14.0 | Q Loss: -32339916750848.0 | Steps: 2911
Episode: 142 | Reward: 11.0 | Q Loss: -31510828679168.0 | Steps: 2922
Episode: 143 | Reward: 11.0 | Q Loss: -37589704769536.0 | Steps: 2933
Episode: 144 | Reward: 17.0 | Q Loss: -37865648029696.0 | Steps: 2950
Episode: 145 | Reward: 38.0 | Q Loss: -41450783899648.0 | Steps: 2988
Episode: 146 | Reward: 17.0 | Q Loss: -37436914663424.0 | Steps: 3005
Episode: 147 | Reward: 13.0 | Q Loss: -39418404536320.0 | Steps: 3018
Episode: 148 | Reward: 34.0 | Q Loss: -43691435622400.0 | Steps: 3052
Episode: 149 | Reward: 37.0 | Q Loss: -48827671248896.0 | Steps: 3089
Episode: 150 | Reward: 10.0 | Q Loss: -44750463827968.0 | Steps: 3099
Episode: 151 | Reward: 14.0 | Q Loss: -46456580866048.0 | Steps: 3113
Episode: 152 | Reward: 11.0 | Q Loss: -43615778766848.0 | Steps: 3124
Episode: 153 | Reward: 38.0 | Q Loss: -38764172804096.0 | Steps: 3162
Episode: 154 | Reward: 9.0 | Q Loss: -54044647227392.0 | Steps: 3171
Episode: 155 | Reward: 35.0 | Q Loss: -48854581903360.0 | Steps: 3206
Episode: 156 | Reward: 15.0 | Q Loss: -51153018552320.0 | Steps: 3221
Episode: 157 | Reward: 12.0 | Q Loss: -52997136580608.0 | Steps: 3233
Episode: 158 | Reward: 18.0 | Q Loss: -60113956110336.0 | Steps: 3251
Episode: 159 | Reward: 14.0 | Q Loss: -56260749688832.0 | Steps: 3265
Episode: 160 | Reward: 16.0 | Q Loss: -58566320848896.0 | Steps: 3281
Episode: 161 | Reward: 17.0 | Q Loss: -58500952621056.0 | Steps: 3298
Episode: 162 | Reward: 24.0 | Q Loss: -51603658768384.0 | Steps: 3322
Episode: 163 | Reward: 10.0 | Q Loss: -57415089258496.0 | Steps: 3332
Episode: 164 | Reward: 8.0 | Q Loss: -51852485853184.0 | Steps: 3340
Episode: 165 | Reward: 14.0 | Q Loss: -72110487633920.0 | Steps: 3354
Episode: 166 | Reward: 24.0 | Q Loss: -69457229643776.0 | Steps: 3378
Episode: 167 | Reward: 21.0 | Q Loss: -64112998481920.0 | Steps: 3399
Episode: 168 | Reward: 14.0 | Q Loss: -71032635392000.0 | Steps: 3413
Episode: 169 | Reward: 28.0 | Q Loss: -58732243320832.0 | Steps: 3441
Episode: 170 | Reward: 16.0 | Q Loss: -64165200789504.0 | Steps: 3457
Episode: 171 | Reward: 12.0 | Q Loss: -67822969421824.0 | Steps: 3469
Episode: 172 | Reward: 12.0 | Q Loss: -68017786454016.0 | Steps: 3481
Episode: 173 | Reward: 32.0 | Q Loss: -73989082841088.0 | Steps: 3513
Episode: 174 | Reward: 16.0 | Q Loss: -61877258289152.0 | Steps: 3529
Episode: 175 | Reward: 21.0 | Q Loss: -67077662572544.0 | Steps: 3550
Episode: 176 | Reward: 22.0 | Q Loss: -66503747567616.0 | Steps: 3572
Episode: 177 | Reward: 24.0 | Q Loss: -79875931111424.0 | Steps: 3596
Episode: 178 | Reward: 22.0 | Q Loss: -79348187004928.0 | Steps: 3618
Episode: 179 | Reward: 22.0 | Q Loss: -76920364466176.0 | Steps: 3640
Episode: 180 | Reward: 24.0 | Q Loss: -67993115557888.0 | Steps: 3664
Episode: 181 | Reward: 16.0 | Q Loss: -83075220373504.0 | Steps: 3680
Episode: 182 | Reward: 22.0 | Q Loss: -88179696730112.0 | Steps: 3702
Episode: 183 | Reward: 20.0 | Q Loss: -86937469714432.0 | Steps: 3722
Episode: 184 | Reward: 18.0 | Q Loss: -82479469821952.0 | Steps: 3740
Episode: 185 | Reward: 14.0 | Q Loss: -85491072368640.0 | Steps: 3754
