/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 64 | Reward: -125.0591425983841 | Polciy Loss: 217.7047119140625 | Steps: 12800
Episode: 65 | Reward: -593.9387087908985 | Polciy Loss: 186.86766052246094 | Steps: 13000
Episode: 66 | Reward: -596.7325035879995 | Polciy Loss: 211.93653869628906 | Steps: 13200
Episode: 67 | Reward: -469.597762600601 | Polciy Loss: 205.7542724609375 | Steps: 13400
Episode: 68 | Reward: -125.97918697039873 | Polciy Loss: 198.390869140625 | Steps: 13600
Episode: 69 | Reward: -486.80701623776775 | Polciy Loss: 197.81671142578125 | Steps: 13800
Episode: 70 | Reward: -236.35752051742594 | Polciy Loss: 196.34030151367188 | Steps: 14000
Episode: 71 | Reward: -241.86841998813685 | Polciy Loss: 188.2093963623047 | Steps: 14200
Episode: 72 | Reward: -473.06020062548157 | Polciy Loss: 203.55465698242188 | Steps: 14400
Episode: 73 | Reward: -0.3477211239539397 | Polciy Loss: 192.4574432373047 | Steps: 14600
Episode: 74 | Reward: -120.88123798448972 | Polciy Loss: 184.7691650390625 | Steps: 14800
Episode: 75 | Reward: -119.71683801675518 | Polciy Loss: 182.63604736328125 | Steps: 15000
Episode: 76 | Reward: -242.72680152247665 | Polciy Loss: 180.38079833984375 | Steps: 15200
Episode: 77 | Reward: -358.6804711148906 | Polciy Loss: 189.46530151367188 | Steps: 15400
Episode: 78 | Reward: -125.93508098801229 | Polciy Loss: 177.57669067382812 | Steps: 15600
Episode: 79 | Reward: -1.1665374263828259 | Polciy Loss: 179.0963897705078 | Steps: 15800
Episode: 80 | Reward: -124.84349637459493 | Polciy Loss: 167.66465759277344 | Steps: 16000
Episode: 81 | Reward: -361.7417056525412 | Polciy Loss: 170.04722595214844 | Steps: 16200
Episode: 82 | Reward: -241.42496403729376 | Polciy Loss: 152.47775268554688 | Steps: 16400
Episode: 83 | Reward: -124.59520438803561 | Polciy Loss: 167.49063110351562 | Steps: 16600
