/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 77 | Reward: 9.0 | Q Loss: -41150828544.0 | Steps: 744
Episode: 78 | Reward: 10.0 | Q Loss: -56552103936.0 | Steps: 754
Episode: 79 | Reward: 11.0 | Q Loss: -58171723776.0 | Steps: 765
Episode: 80 | Reward: 9.0 | Q Loss: -64410288128.0 | Steps: 774
Episode: 81 | Reward: 10.0 | Q Loss: -68238749696.0 | Steps: 784
Episode: 82 | Reward: 9.0 | Q Loss: -68069769216.0 | Steps: 793
Episode: 83 | Reward: 11.0 | Q Loss: -72265523200.0 | Steps: 804
Episode: 84 | Reward: 8.0 | Q Loss: -89674563584.0 | Steps: 812
Episode: 85 | Reward: 9.0 | Q Loss: -92304850944.0 | Steps: 821
Episode: 86 | Reward: 11.0 | Q Loss: -85523144704.0 | Steps: 832
Episode: 87 | Reward: 9.0 | Q Loss: -98238119936.0 | Steps: 841
Episode: 88 | Reward: 9.0 | Q Loss: -122309500928.0 | Steps: 850
Episode: 89 | Reward: 10.0 | Q Loss: -124136546304.0 | Steps: 860
Episode: 90 | Reward: 10.0 | Q Loss: -123998437376.0 | Steps: 870
Episode: 91 | Reward: 9.0 | Q Loss: -141533790208.0 | Steps: 879
Episode: 92 | Reward: 10.0 | Q Loss: -140487688192.0 | Steps: 889
Episode: 93 | Reward: 25.0 | Q Loss: -164596137984.0 | Steps: 914
Episode: 94 | Reward: 10.0 | Q Loss: -159038767104.0 | Steps: 924
Episode: 95 | Reward: 9.0 | Q Loss: -205507477504.0 | Steps: 933
Episode: 96 | Reward: 11.0 | Q Loss: -209424482304.0 | Steps: 944
Episode: 97 | Reward: 11.0 | Q Loss: -230965379072.0 | Steps: 955
Episode: 98 | Reward: 9.0 | Q Loss: -237242744832.0 | Steps: 964
Episode: 99 | Reward: 10.0 | Q Loss: -259787390976.0 | Steps: 974
Episode: 100 | Reward: 8.0 | Q Loss: -290485174272.0 | Steps: 982
Episode: 101 | Reward: 10.0 | Q Loss: -292617093120.0 | Steps: 992
Episode: 102 | Reward: 9.0 | Q Loss: -282463076352.0 | Steps: 1001
Episode: 103 | Reward: 10.0 | Q Loss: -290629976064.0 | Steps: 1011
Episode: 104 | Reward: 10.0 | Q Loss: -338157371392.0 | Steps: 1021
Episode: 105 | Reward: 10.0 | Q Loss: -304198647808.0 | Steps: 1031
Episode: 106 | Reward: 12.0 | Q Loss: -385395228672.0 | Steps: 1043
Episode: 107 | Reward: 8.0 | Q Loss: -389317033984.0 | Steps: 1051
Episode: 108 | Reward: 8.0 | Q Loss: -438492430336.0 | Steps: 1059
Episode: 109 | Reward: 10.0 | Q Loss: -406795911168.0 | Steps: 1069
Episode: 110 | Reward: 8.0 | Q Loss: -502395699200.0 | Steps: 1077
Episode: 111 | Reward: 8.0 | Q Loss: -454077284352.0 | Steps: 1085
Episode: 112 | Reward: 9.0 | Q Loss: -467917701120.0 | Steps: 1094
Episode: 113 | Reward: 27.0 | Q Loss: -569285804032.0 | Steps: 1121
Episode: 114 | Reward: 9.0 | Q Loss: -568642568192.0 | Steps: 1130
Episode: 115 | Reward: 10.0 | Q Loss: -594000740352.0 | Steps: 1140
Episode: 116 | Reward: 8.0 | Q Loss: -560459612160.0 | Steps: 1148
Episode: 117 | Reward: 11.0 | Q Loss: -649322627072.0 | Steps: 1159
Episode: 118 | Reward: 8.0 | Q Loss: -712403779584.0 | Steps: 1167
Episode: 119 | Reward: 10.0 | Q Loss: -795719761920.0 | Steps: 1177
Episode: 120 | Reward: 9.0 | Q Loss: -766789287936.0 | Steps: 1186
Episode: 121 | Reward: 10.0 | Q Loss: -859181678592.0 | Steps: 1196
Episode: 122 | Reward: 9.0 | Q Loss: -857135841280.0 | Steps: 1205
Episode: 123 | Reward: 8.0 | Q Loss: -894935957504.0 | Steps: 1213
Episode: 124 | Reward: 9.0 | Q Loss: -923889369088.0 | Steps: 1222
Episode: 125 | Reward: 9.0 | Q Loss: -946279284736.0 | Steps: 1231
Episode: 126 | Reward: 9.0 | Q Loss: -870381518848.0 | Steps: 1240
Episode: 127 | Reward: 11.0 | Q Loss: -898521038848.0 | Steps: 1251
Episode: 128 | Reward: 10.0 | Q Loss: -1088559841280.0 | Steps: 1261
Episode: 129 | Reward: 8.0 | Q Loss: -1160994881536.0 | Steps: 1269
Episode: 130 | Reward: 10.0 | Q Loss: -1093391417344.0 | Steps: 1279
Episode: 131 | Reward: 9.0 | Q Loss: -1063044513792.0 | Steps: 1288
Episode: 132 | Reward: 9.0 | Q Loss: -1121731215360.0 | Steps: 1297
Episode: 133 | Reward: 9.0 | Q Loss: -1306290814976.0 | Steps: 1306
Episode: 134 | Reward: 10.0 | Q Loss: -1230568947712.0 | Steps: 1316
Episode: 135 | Reward: 9.0 | Q Loss: -1584975839232.0 | Steps: 1325
Episode: 136 | Reward: 8.0 | Q Loss: -1530553565184.0 | Steps: 1333
Episode: 137 | Reward: 9.0 | Q Loss: -1624360878080.0 | Steps: 1342
Episode: 138 | Reward: 10.0 | Q Loss: -1878113386496.0 | Steps: 1352
Episode: 139 | Reward: 9.0 | Q Loss: -1701126602752.0 | Steps: 1361
Episode: 140 | Reward: 10.0 | Q Loss: -1573735235584.0 | Steps: 1371
Episode: 141 | Reward: 10.0 | Q Loss: -1986861727744.0 | Steps: 1381
Episode: 142 | Reward: 10.0 | Q Loss: -2126370570240.0 | Steps: 1391
Episode: 143 | Reward: 9.0 | Q Loss: -1862758170624.0 | Steps: 1400
Episode: 144 | Reward: 9.0 | Q Loss: -2066659540992.0 | Steps: 1409
Episode: 145 | Reward: 9.0 | Q Loss: -2109231464448.0 | Steps: 1418
Episode: 146 | Reward: 10.0 | Q Loss: -2000106291200.0 | Steps: 1428
Episode: 147 | Reward: 9.0 | Q Loss: -2182817644544.0 | Steps: 1437
Episode: 148 | Reward: 10.0 | Q Loss: -2215586037760.0 | Steps: 1447
Episode: 149 | Reward: 9.0 | Q Loss: -2094287159296.0 | Steps: 1456
Episode: 150 | Reward: 11.0 | Q Loss: -2454084124672.0 | Steps: 1467
Episode: 151 | Reward: 9.0 | Q Loss: -2436286906368.0 | Steps: 1476
Episode: 152 | Reward: 11.0 | Q Loss: -2361012781056.0 | Steps: 1487
Episode: 153 | Reward: 10.0 | Q Loss: -2427012513792.0 | Steps: 1497
Episode: 154 | Reward: 10.0 | Q Loss: -2889528115200.0 | Steps: 1507
Episode: 155 | Reward: 9.0 | Q Loss: -2699654856704.0 | Steps: 1516
