/home/sebastian/anaconda3/lib/python3.7/site-packages/torch/nn/modules/module.py:974: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Episode: 64 | Reward: -124.92493977876296 | Polciy Loss: 172.79771423339844 | Steps: 12800
Episode: 65 | Reward: -596.3224669737268 | Polciy Loss: 170.77049255371094 | Steps: 13000
Episode: 66 | Reward: -120.8657162832691 | Polciy Loss: 178.54678344726562 | Steps: 13200
Episode: 67 | Reward: -124.03289176496142 | Polciy Loss: 176.86187744140625 | Steps: 13400
Episode: 68 | Reward: -498.2317062757358 | Polciy Loss: 170.8901824951172 | Steps: 13600
Episode: 69 | Reward: -608.3341201828406 | Polciy Loss: 158.8686065673828 | Steps: 13800
Episode: 70 | Reward: -119.60611431053577 | Polciy Loss: 172.0261688232422 | Steps: 14000
Episode: 71 | Reward: -483.5404521983927 | Polciy Loss: 168.1095733642578 | Steps: 14200
Episode: 72 | Reward: -124.19166375344238 | Polciy Loss: 179.33963012695312 | Steps: 14400
Episode: 73 | Reward: -124.3400091076137 | Polciy Loss: 161.3944549560547 | Steps: 14600
Episode: 74 | Reward: -2.0896014967973606 | Polciy Loss: 154.45433044433594 | Steps: 14800
Episode: 75 | Reward: -240.93104938167798 | Polciy Loss: 165.07447814941406 | Steps: 15000
Episode: 76 | Reward: -241.7177050725442 | Polciy Loss: 143.9759521484375 | Steps: 15200
Episode: 77 | Reward: -240.69255962801859 | Polciy Loss: 149.49456787109375 | Steps: 15400
Episode: 78 | Reward: -123.11370324038845 | Polciy Loss: 162.19866943359375 | Steps: 15600
